Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ABEO,ABEO,ABEO,ABEO,ABEO,ABEO
Date,,,,,,
2024-05-28,4.099999904632568,4.099999904632568,4.210000038146973,4.019999980926514,4.130000114440918,461700
2024-05-29,4.059999942779541,4.059999942779541,4.190000057220459,4.010000228881836,4.050000190734863,380800
2024-05-30,4.210000038146973,4.210000038146973,4.429999828338623,4.110000133514404,4.28000020980835,832300
2024-05-31,4.380000114440918,4.380000114440918,4.46999979019165,4.21999979019165,4.21999979019165,443100
2024-06-03,4.519999980926514,4.519999980926514,4.699999809265137,4.380000114440918,4.429999828338623,782800
2024-06-04,4.329999923706055,4.329999923706055,4.53000020980835,4.28000020980835,4.440000057220459,405600
2024-06-05,4.519999980926514,4.519999980926514,4.630000114440918,4.300000190734863,4.329999923706055,497900
2024-06-06,4.28000020980835,4.28000020980835,4.559999942779541,4.25,4.519999980926514,369300
2024-06-07,4.269999980926514,4.269999980926514,4.349999904632568,4.230000019073486,4.230000019073486,240400
2024-06-10,4.460000038146973,4.460000038146973,4.550000190734863,4.230000019073486,4.260000228881836,466100
2024-06-11,4.449999809265137,4.449999809265137,4.659999847412109,4.400000095367432,4.449999809265137,584300
2024-06-12,4.5,4.5,4.75,4.360000133514404,4.510000228881836,423000
2024-06-13,4.590000152587891,4.590000152587891,4.820000171661377,4.449999809265137,4.53000020980835,558800
2024-06-14,4.570000171661377,4.570000171661377,4.650000095367432,4.510000228881836,4.639999866485596,232300
2024-06-17,4.510000228881836,4.510000228881836,4.699999809265137,4.429999828338623,4.550000190734863,324500
2024-06-18,4.539999961853027,4.539999961853027,4.650000095367432,4.429999828338623,4.489999771118164,799400
2024-06-20,4.519999980926514,4.519999980926514,4.710000038146973,4.489999771118164,4.559999942779541,213600
2024-06-21,4.579999923706055,4.579999923706055,4.630000114440918,4.460000038146973,4.510000228881836,1648100
2024-06-24,4.349999904632568,4.349999904632568,4.630000114440918,4.300000190734863,4.590000152587891,271000
2024-06-25,4.21999979019165,4.21999979019165,4.309999942779541,4.099999904632568,4.300000190734863,382700
2024-06-26,4.090000152587891,4.090000152587891,4.199999809265137,4.059999942779541,4.199999809265137,221300
2024-06-27,4.190000057220459,4.190000057220459,4.260000228881836,4.039999961853027,4.059999942779541,177600
2024-06-28,4.239999771118164,4.239999771118164,4.239999771118164,4.070000171661377,4.170000076293945,243900
2024-07-01,4.199999809265137,4.199999809265137,4.329999923706055,4.179999828338623,4.21999979019165,120000
2024-07-02,4.119999885559082,4.119999885559082,4.21999979019165,4.110000133514404,4.150000095367432,160000
2024-07-03,4.349999904632568,4.349999904632568,4.389999866485596,4.159999847412109,4.25,199700
2024-07-05,4.539999961853027,4.539999961853027,4.550000190734863,4.289999961853027,4.400000095367432,367900
2024-07-08,4.800000190734863,4.800000190734863,4.880000114440918,4.539999961853027,4.539999961853027,458300
2024-07-09,5.0,5.0,5.190000057220459,4.789999961853027,4.789999961853027,639600
2024-07-10,4.989999771118164,4.989999771118164,5.179999828338623,4.900000095367432,5.010000228881836,310300
2024-07-11,5.190000057220459,5.190000057220459,5.309999942779541,5.059999942779541,5.130000114440918,515500
2024-07-12,5.510000228881836,5.510000228881836,5.599999904632568,5.199999809265137,5.199999809265137,631000
2024-07-15,5.389999866485596,5.389999866485596,5.699999809265137,5.300000190734863,5.579999923706055,475200
2024-07-16,5.340000152587891,5.340000152587891,5.559999942779541,5.28000020980835,5.46999979019165,495500
2024-07-17,5.420000076293945,5.420000076293945,5.519999980926514,5.170000076293945,5.28000020980835,543500
2024-07-18,5.039999961853027,5.039999961853027,5.539999961853027,4.809999942779541,5.409999847412109,1096200
2024-07-19,5.110000133514404,5.110000133514404,5.260000228881836,5.03000020980835,5.059999942779541,249100
2024-07-22,5.0,5.0,5.329999923706055,4.96999979019165,5.110000133514404,170100
2024-07-23,5.130000114440918,5.130000114440918,5.150000095367432,4.909999847412109,4.960000038146973,263900
2024-07-24,5.050000190734863,5.050000190734863,5.170000076293945,4.96999979019165,5.090000152587891,157400
2024-07-25,5.03000020980835,5.03000020980835,5.260000228881836,4.989999771118164,5.050000190734863,402100
2024-07-26,5.099999904632568,5.099999904632568,5.25,5.03000020980835,5.170000076293945,241100
2024-07-29,4.980000019073486,4.980000019073486,5.210000038146973,4.980000019073486,5.079999923706055,387000
2024-07-30,4.71999979019165,4.71999979019165,5.010000228881836,4.710000038146973,4.980000019073486,319200
2024-07-31,4.900000095367432,4.900000095367432,5.0,4.559999942779541,4.699999809265137,355600
2024-08-01,4.809999942779541,4.809999942779541,4.940000057220459,4.730000019073486,4.940000057220459,284600
2024-08-02,4.699999809265137,4.699999809265137,4.769999980926514,4.630000114440918,4.699999809265137,330300
2024-08-05,4.599999904632568,4.599999904632568,4.699999809265137,4.300000190734863,4.400000095367432,489600
2024-08-06,4.679999828338623,4.679999828338623,4.78000020980835,4.5,4.510000228881836,232900
2024-08-07,4.420000076293945,4.420000076293945,4.820000171661377,4.409999847412109,4.760000228881836,199500
2024-08-08,4.46999979019165,4.46999979019165,4.579999923706055,4.409999847412109,4.409999847412109,204800
2024-08-09,4.420000076293945,4.420000076293945,4.570000171661377,4.360000133514404,4.489999771118164,427200
2024-08-12,4.949999809265137,4.949999809265137,5.210000038146973,4.5,4.5,600400
2024-08-13,4.980000019073486,4.980000019073486,5.079999923706055,4.809999942779541,4.989999771118164,208300
2024-08-14,4.949999809265137,4.949999809265137,5.300000190734863,4.840000152587891,5.050000190734863,412800
2024-08-15,5.0,5.0,5.309999942779541,4.940000057220459,4.949999809265137,345200
2024-08-16,5.0,5.0,5.059999942779541,4.880000114440918,5.0,161200
2024-08-19,5.230000019073486,5.230000019073486,5.25,4.909999847412109,5.0,286400
2024-08-20,5.130000114440918,5.130000114440918,5.340000152587891,5.050000190734863,5.199999809265137,307300
2024-08-21,5.239999771118164,5.239999771118164,5.269999980926514,5.070000171661377,5.170000076293945,198000
2024-08-22,5.119999885559082,5.119999885559082,5.260000228881836,5.079999923706055,5.260000228881836,175600
2024-08-23,5.519999980926514,5.519999980926514,5.550000190734863,5.130000114440918,5.130000114440918,399200
2024-08-26,5.739999771118164,5.739999771118164,5.760000228881836,5.489999771118164,5.599999904632568,342000
2024-08-27,5.599999904632568,5.599999904632568,5.730000019073486,5.449999809265137,5.730000019073486,189700
2024-08-28,5.539999961853027,5.539999961853027,5.659999847412109,5.369999885559082,5.570000171661377,203800
2024-08-29,5.559999942779541,5.559999942779541,5.840000152587891,5.539999961853027,5.599999904632568,239600
2024-08-30,5.699999809265137,5.699999809265137,5.75,5.5,5.570000171661377,180000
2024-09-03,5.460000038146973,5.460000038146973,5.840000152587891,5.380000114440918,5.690000057220459,231000
2024-09-04,5.570000171661377,5.570000171661377,5.610000133514404,5.329999923706055,5.360000133514404,147900
2024-09-05,5.630000114440918,5.630000114440918,5.679999828338623,5.460000038146973,5.599999904632568,201500
2024-09-06,5.550000190734863,5.550000190734863,5.75,5.340000152587891,5.639999866485596,193200
2024-09-09,5.619999885559082,5.619999885559082,5.769999980926514,5.570000171661377,5.570000171661377,156600
2024-09-10,5.559999942779541,5.559999942779541,5.639999866485596,5.519999980926514,5.639999866485596,81800
2024-09-11,5.590000152587891,5.590000152587891,5.619999885559082,5.449999809265137,5.550000190734863,86100
2024-09-12,5.579999923706055,5.579999923706055,5.679999828338623,5.539999961853027,5.599999904632568,105500
2024-09-13,5.579999923706055,5.579999923706055,5.75,5.53000020980835,5.630000114440918,151000
2024-09-16,5.329999923706055,5.329999923706055,5.690000057220459,5.320000171661377,5.590000152587891,167300
2024-09-17,5.460000038146973,5.460000038146973,5.670000076293945,5.329999923706055,5.329999923706055,181100
