Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ATPC,ATPC,ATPC,ATPC,ATPC,ATPC
Date,,,,,,
2024-05-28,5.5,5.5,5.559999942779541,5.159999847412109,5.400000095367432,1845
2024-05-29,5.239999771118164,5.239999771118164,5.480000019073486,5.159999847412109,5.480000019073486,3540
2024-05-30,5.099999904632568,5.099999904632568,5.420000076293945,5.099999904632568,5.099999904632568,1530
2024-05-31,5.0,5.0,5.300000190734863,4.900000095367432,5.199999809265137,4075
2024-06-03,6.199999809265137,6.199999809265137,8.0,5.139999866485596,5.139999866485596,300450
2024-06-04,5.199999809265137,5.199999809265137,6.099999904632568,5.119999885559082,5.760000228881836,43935
2024-06-05,5.019999980926514,5.019999980926514,5.380000114440918,4.900000095367432,5.039999961853027,11175
2024-06-06,5.0,5.0,5.400000095367432,4.699999809265137,5.239999771118164,9760
2024-06-07,5.199999809265137,5.199999809265137,5.199999809265137,4.639999866485596,4.820000171661377,4225
2024-06-10,4.840000152587891,4.840000152587891,5.059999942779541,4.619999885559082,5.0,9185
2024-06-11,4.699999809265137,4.699999809265137,4.840000152587891,4.599999904632568,4.840000152587891,3625
2024-06-12,4.619999885559082,4.619999885559082,4.840000152587891,4.5,4.699999809265137,6495
2024-06-13,4.519999980926514,4.519999980926514,4.980000019073486,4.5,4.5,3530
2024-06-14,4.559999942779541,4.559999942779541,4.940000057220459,4.420000076293945,4.420000076293945,4725
2024-06-17,4.400000095367432,4.400000095367432,4.880000114440918,4.300000190734863,4.559999942779541,6260
2024-06-18,4.420000076293945,4.420000076293945,4.5,4.400000095367432,4.400000095367432,1100
2024-06-20,4.260000228881836,4.260000228881836,4.539999961853027,4.179999828338623,4.539999961853027,6850
2024-06-21,4.380000114440918,4.380000114440918,4.78000020980835,4.239999771118164,4.239999771118164,14635
2024-06-24,4.400000095367432,4.400000095367432,4.460000038146973,4.239999771118164,4.380000114440918,6560
2024-06-25,4.400000095367432,4.400000095367432,4.599999904632568,4.400000095367432,4.400000095367432,1990
2024-06-26,4.300000190734863,4.300000190734863,4.400000095367432,4.300000190734863,4.320000171661377,260
2024-06-27,4.360000133514404,4.360000133514404,4.380000114440918,4.039999961853027,4.199999809265137,2975
2024-06-28,4.239999771118164,4.239999771118164,4.78000020980835,4.199999809265137,4.320000171661377,6235
2024-07-01,4.179999828338623,4.179999828338623,4.400000095367432,4.079999923706055,4.239999771118164,4695
2024-07-02,4.0,4.0,4.199999809265137,3.799999952316284,4.179999828338623,6325
2024-07-03,4.0,4.0,4.0,3.799999952316284,4.0,675
2024-07-05,4.0,4.0,4.079999923706055,3.9200000762939453,4.0,2475
2024-07-08,4.099999904632568,4.099999904632568,4.099999904632568,3.9600000381469727,4.0,3260
2024-07-09,4.0,4.0,4.019999980926514,3.859999895095825,4.019999980926514,1300
2024-07-10,4.179999828338623,4.179999828338623,4.179999828338623,3.8399999141693115,4.0,1325
2024-07-11,4.0,4.0,4.099999904632568,3.9000000953674316,4.059999942779541,2950
2024-07-12,4.0,4.0,4.099999904632568,4.0,4.0,560
2024-07-15,3.9800000190734863,3.9800000190734863,4.0,3.799999952316284,3.9200000762939453,2190
2024-07-16,3.9800000190734863,3.9800000190734863,4.320000171661377,3.8399999141693115,3.8399999141693115,4985
2024-07-17,4.0,4.0,4.0,3.799999952316284,3.8399999141693115,1520
2024-07-18,3.8399999141693115,3.8399999141693115,4.0,3.819999933242798,3.9800000190734863,1500
2024-07-19,3.299999952316284,3.299999952316284,4.0,3.059999942779541,3.9800000190734863,10165
2024-07-22,2.859999895095825,2.859999895095825,3.2200000286102295,2.640000104904175,3.0,31380
2024-07-23,4.300000190734863,4.300000190734863,6.800000190734863,3.7200000286102295,6.599999904632568,5368410
2024-07-24,3.180000066757202,3.180000066757202,3.640000104904175,2.700000047683716,3.200000047683716,355855
2024-07-25,2.2200000286102295,2.2200000286102295,3.0,2.119999885559082,3.0,448280
2024-07-26,2.1600000858306885,2.1600000858306885,2.4000000953674316,2.119999885559082,2.240000009536743,536525
2024-07-29,1.7599999904632568,1.7599999904632568,2.180000066757202,1.5399999618530273,2.180000066757202,356445
2024-07-30,2.700000047683716,2.700000047683716,5.960000038146973,2.5399999618530273,2.5399999618530273,9922230
2024-07-31,2.319999933242798,2.319999933242798,2.5999999046325684,2.119999885559082,2.5999999046325684,517415
2024-08-01,3.1600000858306885,3.1600000858306885,4.900000095367432,2.3399999141693115,2.3399999141693115,6920675
2024-08-02,2.940000057220459,2.940000057220459,3.0399999618530273,2.380000114440918,2.880000114440918,504615
2024-08-05,2.4000000953674316,2.4000000953674316,2.740000009536743,2.299999952316284,2.4200000762939453,187480
2024-08-06,2.680000066757202,2.680000066757202,3.119999885559082,2.5,3.119999885559082,1601240
2024-08-07,2.5199999809265137,2.5199999809265137,2.640000104904175,2.4600000381469727,2.5799999237060547,153005
2024-08-08,2.4000000953674316,2.4000000953674316,2.559999942779541,2.4000000953674316,2.559999942779541,94730
2024-08-09,2.4800000190734863,2.4800000190734863,2.5199999809265137,2.4200000762939453,2.4800000190734863,51480
2024-08-12,2.440000057220459,2.440000057220459,2.4800000190734863,2.3399999141693115,2.4000000953674316,67120
